"CODIGOINE","SUPERFICIE","ALTITUD","LONGITUD_ETRS89","LATITUD_ETRS89","EDAD_MEDIA","de0.18","de19.67","masde68","de0.12","HOMBRES","MUJERES"
"25135",1482.7502,287,0.87815289,41.60517743,44.16200295,251,848,259,176,684,674
"25136",2674.1226,831,1.55838412,41.78641613,50.73394495,9,72,28,6,53,56
"25137",694.5001,248,0.89391515,41.62967682,39.85755455,3151,9626,1797,2263,7437,7137
"25138",2913.29,286,0.96159564,41.80050565,52.25628931,69,373,194,43,332,304
"25139",5508.222,1158,1.70523296,42.35514963,49.24548736,59,371,124,42,305,249
"25140",17692.0772,727,1.42841479,42.34173684,42.24267399,218,715,159,153,591,501
"25141",2946.02,688,1.27068429,41.59039789,52.14606742,26,106,46,14,98,80
"25142",735.7837,166,0.58988048,41.56054095,47.87206823,72,280,117,43,234,235
"25143",1213.72,611,1.22987015,41.60133255,54,13,51,33,6,46,51
"25145",966.81,486,1.11525401,41.55999836,53.66336634,7,59,35,6,54,47
"25146",14558.077,608,1.63504981,41.991611,45.26736111,56,176,56,35,144,144
"25148",11446.51,1290,1.45499375,42.13280798,52.4609375,21,171,64,18,150,106
"25149",3184.4632,476,1.31468975,42.06520602,48.53066813,240,1143,443,165,918,908
"25150",8645.0295,450,1.17484751,41.87672873,49.51184834,26,131,54,14,113,98
"25151",5517.6977,564,1.56425295,42.01048028,40.76799141,229,563,139,162,497,434
"25152",1909.08,528,1.31885067,41.69770675,54.98709677,14,87,54,10,81,74
"25153",1101.36,385,0.95910584,41.50184235,55.21428571,18,114,78,10,111,99
"25154",1300.98,563,1.07477992,41.50021668,52.16296296,11,84,40,5,72,63
"25155",1227.0511,560,1.32853817,42.21117164,49.1835206,114,473,214,78,401,400
"25156",13502.9075,466,0.71839622,41.87163784,44.71470879,203,620,190,121,514,499
"25157",2602.6103,386,1.15876562,41.75462412,48.90610329,35,122,56,27,106,107
"25158",1236.2936,235,0.88036993,41.65177294,43.08428768,414,1404,365,292,1072,1111
"25161",16579.1761,510,0.97147739,42.24313889,49.8988764,61,270,114,44,233,212
"25163",6063.075,984,1.58883165,42.17615775,48.64092664,24,197,38,16,157,102
"25164",2553.9795,277,0.96529456,41.75736777,49.88336933,64,280,119,44,265,198
"25165",5567.3353,568,1.26762421,42.05722832,50.36070381,35,217,89,21,169,172
"25166",9097.1976,646,1.39956386,41.97117035,49.86255924,25,131,55,14,123,88
"25167",10444.5208,821,1.54146648,41.82717388,44.97115385,57,190,65,39,163,149
"25168",885.83,215,0.8551215,41.67839572,48.54945055,92,393,152,56,333,304
"25169",6198.67,663,0.91542924,41.36776774,52.75773196,21,117,56,10,109,85
"25170",1745.1964,637,0.73567044,41.33745826,54.46885246,25,180,100,12,159,146
"25171",3338.3289,526,0.9680387,42.24756288,47.38385894,476,1763,710,328,1462,1487
"25172",3077.1204,365,1.18781048,41.91779593,44.94965675,447,1642,533,292,1292,1330
"25173",14838.9684,838,0.73959286,42.40713094,45.44282561,369,1472,424,248,1140,1125
"25174",1235.4612,259,0.64077779,41.73835465,43.96045198,109,487,112,70,395,313
"25175",621.4516,1118,1.83962548,42.36572921,45.63362069,30,162,40,17,119,113
"25176",2134.76,326,1.03815053,41.6078666,51.97112861,53,204,124,32,199,182
"25177",2875.014,316,1.05125653,41.79410924,51.08803612,64,241,138,41,228,215
"25179",2118.8734,1092,1.73627101,42.37923629,46.89285714,38,138,48,21,110,114
"25180",982.97,334,0.89000551,41.55039239,47.30357143,46,172,62,26,141,139
"25181",1702.7718,365,1.12196171,41.77726506,48.97368421,30,145,53,22,127,101
"25182",1240.6118,220,0.73288469,41.54314115,44.09037037,252,854,244,162,694,656
"25183",6280.7707,728,1.13490916,42.44428041,43.01201201,112,454,100,72,345,321
"25185",10694.022,699,1.38298473,42.3125298,44.55448718,165,608,163,118,483,453
"25186",4740.977,606,1.56385957,41.94148705,45.69083969,48,158,56,33,130,132
"25189",989.8594,253,0.59696806,41.69266748,40.38760947,613,2080,390,435,1549,1534
"25190",2068.0124,571,0.9321034,42.21221216,49.34421365,42,210,85,35,180,157
"25191",3294.57,409,1.3108317,41.87617955,49.49625935,57,238,106,33,209,192
"25192",2515.73,739,1.42192856,41.65771904,46.31712062,173,637,218,120,538,490
"25193",416.6043,923,1.59104546,42.1375302,49.35194942,132,560,257,80,470,479
"25194",1886.67,663,1.3570131,41.72434263,50.76725838,60,309,138,40,275,232
"25196",9338.6387,869,0.76403263,42.07872567,52.95384615,8,90,32,5,77,53
"25197",1231.98,553,1.32454875,41.76288065,49.48022599,26,102,49,12,101,76
"25200",4148.3499,199,0.5619353,41.45853936,53.45945946,33,215,122,23,201,169
"25201",8697.049,998,0.88095633,42.35942078,53.925,4,82,34,4,69,51
"25202",3472.5413,727,0.93796088,42.32467289,50.61764706,10,105,21,8,79,57
"25203",1515.8411,692,1.46197947,42.35770885,43.61223471,2148,7851,2016,1413,5789,6226
"25204",8586.62,102,0.41029852,41.46324852,44.79683377,312,1193,390,227,1020,875
"25205",815.7036,232,0.8316493,41.62932957,42.49590164,152,473,107,108,383,349
"25206",1261.39,382,0.68173787,41.4129494,50.60404624,51,190,105,31,183,163
"25207",1770.91,664,1.51954905,41.99420581,42.80376644,1735,5723,1516,1177,4444,4530
"25208",10610.4814,1175,1.18218462,42.37023875,43.60049628,62,283,58,46,220,183
"25209",10513.1468,689,1.12986358,42.41116591,43.42434211,398,1391,339,265,1056,1072
"25210",3014.72,118,0.48734956,41.53316329,43.20942408,339,1076,304,249,889,830
"25211",825.8874,152,0.56644588,41.55680479,47.61784897,119,569,186,81,482,392
"25212",1266.4434,213,0.59256412,41.52280643,46.11142061,41,243,75,25,209,150
"25215",2782.4913,570,0.90032828,42.18513058,38.06410256,65,561,76,42,476,226
"25216",3061.63,772,1.33857617,41.58298606,51.34,31,146,73,19,141,109
"25217",8796.49,371,1.13935429,41.64658452,41.04934032,3537,10717,2345,2407,8230,8369
"25218",1308.31,578,1.01998139,41.4226661,48.95959596,17,59,23,12,56,43
"25219",790.45,461,1.27456742,41.73049158,46.80662983,31,111,39,22,99,82
"25220",2757.58,205,0.75915149,41.71883031,46.259362,210,918,314,141,720,722
"25221",875.8323,990,1.24300134,42.515186,50.60283688,14,96,31,8,69,72
"25222",1561.73,434,1.24025148,41.96830839,53.27631579,7,47,22,3,37,39
"25223",9329.3154,446,1.40390911,41.81281676,47.07522486,169,794,260,110,613,610
"25224",1336.2403,478,0.71976235,41.39404826,54.89115646,19,76,52,5,83,64
"25225",2010.12,295,1.05387518,41.7014866,47.49417249,130,518,210,96,465,393
"25226",2775.9483,278,0.59453044,41.42662225,49.85862069,36,172,82,24,155,135
"25227",16553.0341,1088,0.98280258,42.421766,52.35809019,69,494,191,53,386,368
"25228",2341.683,214,0.60717468,41.67308475,37.92220073,1150,3068,435,784,2363,2290
"25230",4074.4951,230,0.83184174,41.58095023,45.93613139,373,1367,452,257,1113,1079
"25231",1081.117,201,0.70234051,41.70468551,45.42937063,107,473,135,75,403,312
"25232",5056.6446,119,0.51295011,41.5350801,44.25932584,323,1523,379,208,1130,1095
"25233",580.5768,195,0.63069784,41.67267185,47.1046832,55,227,81,31,185,178
