"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Ciudad Real","270.460","217.257","495.761",NA,NA,"22.343","18.895"
"Ciudad Real-13034","42.636","37.092","74.746","271","8","29.072","23.701"
"Puertollano-13071","25.937","20.313","47.035","498","15","26.839","22.322"
"Alcázar de San Juan-13005","16.748","13.861","30.576","774","31","24.924","20.683"
"Poblete-13064","1.426","1.213","2.626","836","34","24.565","20.541"
"Argamasilla de Calatrava-13020","3.287","2.546","5.943","886","39","24.135","20.321"
"Manzanares-13053","9.960","8.113","17.997","946","43","23.653","19.864"
"Miguelturra-13056","8.386","6.888","15.368","1.030","45","23.142","19.480"
"Almodóvar del Campo-13015","3.749","2.907","6.027","1.040","46","23.095","19.534"
"Valdepeñas-13087","16.272","13.114","30.077","1.071","48","22.950","19.341"
"Almagro-13013","4.610","3.663","8.896","1.251","61","21.946","18.622"
"Membrilla-13054","3.671","2.832","6.005","1.450","77","20.926","17.918"
"Tomelloso-13082","18.398","14.760","35.873","1.484","80","20.751","17.668"
"Campo de Criptana-13028","7.449","5.742","13.414","1.532","88","20.519","17.576"
"Daimiel-13039","9.318","7.382","17.929","1.569","92","20.364","17.500"
"Almadén-13011","2.591","1.989","5.312","1.588","96","20.273","17.482"
"Carrión de Calatrava-13031","1.771","1.493","3.082","1.670","102","19.879","17.129"
"Pozuelo de Calatrava-13066","1.670","1.325","3.553","1.712","110","19.687","16.892"
"Villanueva de los Infantes-13093","2.653","2.071","4.935","1.813","125","19.260","16.581"
"Socuéllamos-13078","6.450","5.185","12.139","1.849","127","19.104","16.437"
"Alcolea de Calatrava-13007","710","576","1.409","1.881","132","19.001","16.442"
"Santa Cruz de Mudela-13077","2.148","1.670","4.107","1.890","134","18.977","16.424"
"Argamasilla de Alba-13019","3.464","2.776","6.838","1.923","141","18.871","16.356"
"Pedro Muñoz-13061","3.935","3.078","7.293","1.962","150","18.704","16.086"
"Fernán Caballero-13040","483","379","1.001","1.982","155","18.621","16.384"
"Villarta de San Juan-13097","1.413","1.114","2.791","2.019","161","18.507","16.284"
"Bolaños de Calatrava-13023","6.141","4.776","11.934","2.048","165","18.378","15.986"
"Torralba de Calatrava-13083","1.620","1.304","2.977","2.077","169","18.239","16.077"
"Villarrubia de los Ojos-13096","5.464","4.132","9.814","2.096","170","18.174","15.993"
"Solana, La-13079","8.894","6.835","15.479","2.104","172","18.149","15.820"
"Malagón-13052","4.290","3.448","7.998","2.134","177","18.021","15.722"
"Brazatortas-13024","540","442","1.005","2.144","179","17.997","15.758"
"Aldea del Rey-13009","900","686","1.657","2.180","186","17.855","15.697"
"Herencia-13047","4.254","3.272","8.390","2.201","190","17.783","15.617"
"Piedrabuena-13063","2.320","1.803","4.395","2.203","191","17.778","15.522"
"Corral de Calatrava-13035","609","485","1.123","2.209","192","17.757","15.503"
"Calzada de Calatrava-13027","2.087","1.611","3.719","2.226","195","17.676","15.643"
"Chillón-13038","999","767","1.816","2.247","197","17.585","15.556"
