"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Navas de Oro-40145","738","615","1.338","1.774","180","19.424","16.861"
"Villacastín-40225","796","651","1.481","1.861","188","19.054","16.772"
"Ayllón-40024","669","562","1.196","1.932","196","18.832","16.297"
"Navalmanzano-40141","647","545","1.049","2.258","224","17.549","15.392"
"Agrupación municipios pequeños-40","21.706","18.334","38.897","-","-","20.266","17.538"
"Soria","55.724","49.904","88.628",NA,NA,"23.633","19.934"
"Golmayo-42095","1.582","1.455","2.626","375","13","27.970","22.809"
"Soria-42173","27.256","24.950","39.398","548","30","26.415","21.945"
"Burgo de Osma-Ciudad de Osma-42043","2.983","2.650","4.940","1.089","80","22.809","19.335"
"Olvega-42134","2.286","2.057","3.656","1.102","84","22.720","19.260"
"Almazán-42020","3.457","3.032","5.489","1.166","93","22.349","18.976"
"Agreda-42004","1.994","1.756","3.001","1.226","100","22.086","18.868"
"San Esteban de Gormaz-42162","1.876","1.638","3.005","1.536","146","20.489","17.580"
"Arcos de Jalón-42025","875","736","1.469","1.685","166","19.803","17.258"
"San Leonardo de Yagüe-42164","1.223","1.068","2.044","1.733","173","19.570","16.960"
"Duruelo de la Sierra-42078","678","578","1.090","1.742","175","19.532","16.885"
"Covaleda-42069","1.087","909","1.680","2.436","234","16.694","14.903"
"Agrupación municipios pequeños-42","10.427","9.075","20.230","-","-","18.781","16.489"
"Valladolid","331.089","282.888","519.546",NA,NA,"26.462","21.985"
"Simancas-47161","3.295","2.914","5.276","38","1","39.986","31.269"
"Boecillo-47023","2.548","2.260","4.206","76","3","34.996","27.947"
"Arroyo de la Encomienda-47010","12.679","11.537","20.179","279","8","28.978","23.694"
"Valladolid-47186","200.394","171.756","298.412","363","12","28.093","23.210"
"Zaratán-47231","3.906","3.474","6.233","436","22","27.440","22.553"
"Renedo de Esgueva-47133","2.328","2.031","3.788","477","27","27.031","22.330"
"Viana de Cega-47193","1.215","1.050","2.032","560","34","26.318","21.781"
"Fuensaldaña-47066","1.165","1.037","1.773","601","38","25.993","21.491"
"Laguna de Duero-47076","14.391","12.168","22.725","611","40","25.920","21.589"
"Aldeamayor de San Martín-47007","3.679","3.240","5.524","648","43","25.619","21.339"
"Cistérniga-47052","5.675","4.944","9.034","678","46","25.462","21.235"
"Villanubla-47217","1.614","1.453","2.713","937","68","23.753","19.997"
"Tudela de Duero-47175","5.237","4.481","8.564","945","69","23.654","19.840"
"Cabezón de Pisuerga-47027","2.225","1.909","3.713","1.018","73","23.255","19.752"
"Seca, La-47158","613","514","1.077","1.038","75","23.104","19.416"
"Cigales-47050","3.108","2.659","5.235","1.142","89","22.469","19.110"
"Mojados-47090","1.832","1.531","3.210","1.151","90","22.440","18.868"
"Tordesillas-47165","5.383","4.556","8.750","1.169","94","22.330","18.844"
"Serrada-47159","717","587","1.136","1.176","95","22.306","19.044"
"Santovenia de Pisuerga-47155","2.667","2.315","4.480","1.206","99","22.166","18.788"
"Portillo-47122","1.495","1.211","2.432","1.229","102","22.077","18.881"
"Peñafiel-47114","3.045","2.610","5.037","1.270","109","21.878","18.599"
"Medina de Rioseco-47086","2.832","2.348","4.647","1.281","110","21.799","18.467"
"Medina del Campo-47085","12.195","10.172","20.510","1.293","112","21.691","18.454"
"Villanueva de Duero-47218","642","528","1.184","1.322","115","21.570","18.436"
"Olmedo-47104","2.101","1.801","3.643","1.340","119","21.504","18.360"
"Quintanilla de Onésimo-47129","519","450","1.028","1.392","123","21.247","17.970"
"Pedraja de Portillo, La-47111","681","537","1.139","1.427","130","21.038","17.999"
"Valdestillas-47182","957","777","1.643","1.495","139","20.713","17.815"
"Iscar-47075","3.630","2.972","6.344","1.517","142","20.610","17.622"
"Rueda-47139","659","556","1.254","1.560","150","20.405","17.605"
"Traspinedo-47173","529","438","1.109","1.604","156","20.182","17.578"
"Matapozuelos-47082","538","445","1.058","1.634","158","20.063","17.291"
"Pedrajas de San Esteban-47112","1.938","1.564","3.327","1.700","168","19.730","16.925"
"Villabrágima-47197","563","448","1.036","1.731","172","19.584","17.062"
"Carpio-47035","606","464","1.016","1.942","197","18.764","16.595"
"Mayorga-47084","770","667","1.509","2.138","216","18.014","15.666"
"Villalón de Campos-47214","991","821","1.602","2.170","217","17.891","15.781"
"Alaejos-47004","715","563","1.369","2.227","221","17.672","15.549"
"Nava del Rey-47101","1.074","834","1.986","2.228","222","17.669","15.581"
"Campaspero-47030","643","540","1.079","2.366","231","17.020","15.118"
"Agrupación municipios pequeños-47","19.295","15.726","37.534","-","-","19.248","16.784"
"Zamora","101.587","84.915","172.539",NA,NA,"20.925","17.952"
"Morales del Vino-49127","1.708","1.501","2.947","561","35","26.312","21.770"
"Zamora-49275","40.687","34.846","61.406","823","58","24.627","20.669"
"Puebla de Sanabria-49166","883","750","1.373","1.248","106","21.967","18.606"
"Benavente-49021","10.876","9.132","17.935","1.408","128","21.156","18.046"
"Villaralbo-49261","1.012","864","1.821","1.502","140","20.666","17.751"
"Moraleja del Vino-49125","1.011","852","1.721","1.590","151","20.264","17.401"
"Toro-49219","5.345","4.435","8.713","1.591","152","20.262","17.440"
"Coreses-49053","564","462","1.047","1.859","187","19.063","16.606"
"Galende-49085","604","522","1.004","1.991","201","18.598","16.134"
"Fuentesaúco-49081","924","739","1.475","2.095","208","18.177","15.970"
"Bermillo de Sayago-49023","537","447","1.015","2.099","209","18.155","15.779"
"Santa Cristina de la Polvorosa-49200","532","440","1.069","2.106","211","18.148","15.871"
"Villalpando-49250","807","669","1.475","2.132","215","18.030","15.727"
"Alcañices-49003","554","476","1.076","2.315","229","17.228","15.223"
"San Cristóbal de Entreviñas-49187","859","698","1.385","2.412","232","16.824","14.905"
"Fermoselle-49065","692","576","1.206","2.585","240","16.008","14.413"
"Agrupación municipios pequeños-49","33.992","27.506","65.871","-","-","16.553","14.788"
"Cataluña","4.076.050","3.655.487","7.673.112",NA,NA,"31.784","25.544"
"Barcelona","3.046.707","2.739.746","5.664.579",NA,NA,"33.370","26.663"
"Matadepera-08120","5.144","4.812","9.326","1","1","218.788","166.006"
"Sant Just Desvern-08221","10.035","9.320","17.805","5","2","58.875","43.095"
"Sant Cugat del Vallès-08205","49.595","46.193","91.006","6","3","57.565","43.084"
"Alella-08003","5.534","5.117","9.801","8","4","54.412","41.442"
"Sant Vicenç de Montalt-08264","3.267","2.983","6.407","12","5","52.058","39.018"
"Cabrils-08030","4.096","3.746","7.439","15","6","48.765","37.082"
"Sitges-08270","14.508","13.258","29.307","16","7","48.042","36.438"
"Teià-08281","3.655","3.363","6.397","18","9","46.128","35.509"
"Castelldefels-08056","34.272","30.958","67.004","19","10","45.279","33.728"
"Cabrera de Mar-08029","2.631","2.398","4.680","21","11","44.843","34.555"
"Vallromanes-08296","1.442","1.313","2.579","23","12","44.771","34.184"
"Tiana-08282","5.059","4.685","8.840","24","13","44.276","33.888"
"Sant Andreu de Llavaneres-08197","5.520","5.015","10.968","27","15","43.336","33.493"
"Ametlla del Vallès, L-08005","4.870","4.419","8.462","28","16","43.217","33.411"
"Sant Quirze del Vallès-08238","11.435","10.521","20.141","29","17","42.782","32.883"
"Begues-08020","3.989","3.624","7.098","32","18","41.722","32.371"
"Premià de Dalt-08230","5.692","5.101","10.448","44","19","38.935","30.423"
"Caldes Estrac-08032","1.396","1.283","2.982","45","20","38.724","31.066"
"Barcelona-08019","928.662","854.270","1.636.762","46","21","38.696","30.397"
"Gurb-08100","1.558","1.454","2.681","47","22","38.687","30.101"
"Vilassar de Mar-08219","11.791","10.797","20.837","50","24","37.949","29.940"
"Vilassar de Dalt-08214","4.979","4.508","9.043","53","26","37.729","29.473"
"Collbató-08069","2.541","2.309","4.466","61","30","36.729","28.782"
"Masnou, El-08118","13.157","11.995","23.515","63","31","36.399","28.800"
"Esplugues de Llobregat-08077","25.775","22.918","46.680","66","32","36.167","28.695"
"Sant Esteve de Palautordera-08207","1.481","1.344","2.820","68","33","35.880","28.499"
"Sant Pol de Mar-08235","2.767","2.535","5.299","70","34","35.701","28.447"
"Vilanova del Vallès-08902","3.002","2.726","5.432","71","35","35.528","28.287"
"Castellví de Rosanes-08066","1.065","970","1.884","73","36","35.177","27.788"
"Sant Julià de Vilatorta-08220","1.789","1.670","3.114","74","37","35.145","27.494"
"Corbera de Llobregat-08072","8.268","7.433","14.822","79","39","34.698","27.474"
"Castellnou de Bages-08062","701","638","1.397","81","40","34.638","27.837"
"Garriga, La-08088","8.904","8.110","16.514","82","41","34.616","27.616"
"Sant Fruitós de Bages-08213","4.847","4.437","8.703","83","42","34.608","27.449"
"Pallejà-08157","6.496","5.846","11.508","85","44","34.215","27.217"
"Sant Joan Despí-08217","19.362","17.383","34.123","88","45","34.066","27.015"
"Argentona-08009","6.642","6.011","12.452","90","46","33.694","26.963"
"Torrelles de Llobregat-08289","3.364","3.086","6.041","91","47","33.606","26.789"
"Seva-08269","1.896","1.731","3.519","92","48","33.550","26.770"
"Sant Antoni de Vilamajor-08198","3.497","3.122","6.135","98","50","33.367","26.628"
"Bruc, El-08025","1.141","1.026","2.050","99","51","33.354","26.510"
"Santa Coloma de Cervelló-08244","4.597","4.190","8.218","100","52","33.336","26.475"
"Molins de Rei-08123","14.849","13.538","25.868","102","53","33.297","26.615"
"Montgat-08126","6.634","6.031","12.041","103","54","33.265","26.606"
"Folgueroles-08083","1.259","1.169","2.267","105","55","33.223","26.501"
"Cerdanyola del Vallès-08266","32.336","28.972","57.403","108","56","33.164","26.430"
"Palma de Cervelló, La-08905","1.760","1.612","2.954","109","57","33.137","26.430"
"Sant Esteve Sesrovires-08208","4.648","4.213","7.612","113","58","32.978","26.138"
"Viladecavalls-08300","4.112","3.710","7.512","114","59","32.972","26.243"
"Roca del Vallès, La-08181","6.121","5.603","10.650","117","61","32.559","25.949"
"Sant Fost de Campsentelles-08209","4.966","4.358","8.737","120","63","32.511","26.101"
"Bigues i Riells-08023","4.967","4.382","9.092","121","64","32.443","26.027"
"Cardedeu-08046","10.196","9.184","18.357","122","65","32.388","26.022"
"Ullastrell-08290","1.092","995","2.093","124","66","32.301","25.856"
"Cervelló-08068","5.278","4.807","9.054","127","68","32.163","25.812"
"Gavà-08089","25.011","22.159","46.771","128","69","32.150","25.721"
"Sant Feliu de Llobregat-08211","26.192","23.435","44.860","130","70","32.012","25.600"
"Sant Pere de Ribes-08231","15.661","13.780","30.719","132","72","31.937","25.718"
"Vallgorguina-08294","1.449","1.311","2.891","133","73","31.911","25.465"
"Olivella-08148","1.863","1.619","3.799","140","76","31.712","25.454"
"Papiol, El-08158","2.312","2.072","4.145","141","77","31.689","25.481"
"Sant Vicenç de Torelló-08265","1.103","1.026","2.058","148","79","31.596","25.397"
"Olèrdola-08145","1.959","1.759","3.692","151","81","31.533","25.485"
"Gualba-08097","798","731","1.500","154","83","31.447","25.471"
"Palau-solità i Plegamans-08156","8.182","7.301","14.771","155","84","31.420","25.349"
"Castellar del Vallès-08051","13.287","12.065","24.187","159","85","31.333","25.208"
"Sant Sadurní Anoia-08240","7.309","6.482","12.887","162","88","31.221","25.125"
"Vic-08298","25.071","22.607","46.214","165","90","31.049","25.048"
"Sant Llorenç Hortons-08222","1.423","1.298","2.413","168","92","30.909","24.911"
"Caldes de Montbui-08033","9.489","8.668","17.554","171","93","30.819","24.832"
"Lliçà de Vall-08108","3.881","3.438","6.542","174","95","30.777","24.936"
"Premià de Mar-08172","15.069","13.364","28.119","177","97","30.721","24.857"
"Cànoves i Samalús-08042","1.685","1.457","3.117","179","98","30.649","24.733"
"Santpedor-08192","4.279","3.912","7.554","184","100","30.624","24.669"
"Sant Pere de Vilamajor-08234","2.434","2.164","4.472","185","101","30.623","24.800"
"Castellbisbal-08054","6.963","6.267","12.390","189","103","30.567","24.673"
"Taradell-08278","3.579","3.284","6.489","196","105","30.373","24.550"
"Torrelavit-08287","782","698","1.419","199","107","30.312","24.643"
"Tona-08283","4.416","4.018","8.241","202","108","30.296","24.475"
"Sant Climent de Llobregat-08204","2.383","2.151","4.129","203","109","30.250","24.185"
"Vallirana-08295","8.311","7.323","15.006","204","110","30.242","24.529"
"Gelida-08091","4.131","3.725","7.533","205","111","30.227","24.481"
"Cubelles-08074","8.203","7.283","15.329","207","112","30.212","24.587"
"Santa Susanna-08261","1.683","1.525","3.446","209","113","30.179","24.519"
"Granollers-08096","33.009","29.531","61.275","211","114","30.110","24.343"
"Arenys de Mar-08006","8.342","7.544","15.776","213","116","30.101","24.442"
"Abrera-08001","7.069","6.204","12.489","214","117","30.097","24.502"
"Igualada-08102","20.873","18.944","39.967","216","118","30.082","24.425"
"Llinars del Vallès-08106","5.296","4.791","9.938","219","119","30.019","24.220"
"Santa Eulàlia de Ronçana-08248","4.048","3.644","7.288","221","121","29.992","24.295"
"Vacarisses-08291","3.364","3.020","6.688","224","123","29.843","24.210"
"Vilanova i la Geltrú-08307","35.750","31.706","67.086","227","125","29.776","24.186"
"Arenys de Munt-08007","4.705","4.271","8.931","230","126","29.745","24.131"
"Sant Martí de Tous-08226","620","583","1.235","237","128","29.642","23.949"
"Odena-08143","1.831","1.670","3.643","238","129","29.636","24.118"
"Santa Eulàlia de Riuprimer-08247","680","622","1.345","239","130","29.613","24.101"
"Martorelles-08115","2.750","2.431","4.801","241","131","29.559","24.097"
"Sabadell-08187","109.517","98.488","213.644","248","134","29.429","23.915"
"Lliçà Amunt-08107","8.448","7.429","15.256","249","135","29.421","23.948"
"Sant Cebrià de Vallalta-08203","1.879","1.671","3.385","257","139","29.296","23.830"
"Aiguafreda-08014","1.350","1.236","2.504","265","142","29.150","23.798"
"Parets del Vallès-08159","10.675","9.591","19.082","266","143","29.117","23.742"
"Sentmenat-08267","5.017","4.523","9.078","270","146","29.079","23.797"
"Santa Maria de Palautordera-08259","5.103","4.557","9.423","278","149","28.981","23.645"
"Vilafranca del Penedès-08305","22.320","19.692","39.746","280","150","28.970","23.687"
"Martorell-08114","14.492","12.547","28.189","281","151","28.951","23.674"
"Vallbona Anoia-08292","678","614","1.373","292","156","28.846","23.464"
"Franqueses del Vallès, Les-08086","10.333","9.260","20.092","294","157","28.793","23.418"
"Hostalets de Pierola, Els-08162","1.525","1.343","2.973","297","159","28.778","23.453"
"Moià-08138","3.080","2.787","6.267","300","161","28.706","23.481"
"Dosrius-08075","2.895","2.604","5.481","303","163","28.686","23.325"
"Calldetenes-08037","1.408","1.298","2.489","304","164","28.686","23.265"
"L´Esquirol-08254","1.128","1.043","2.181","311","168","28.646","23.413"
"Súria-08274","3.135","2.802","5.942","316","171","28.615","23.247"
"Manresa-08113","39.628","35.401","77.714","320","172","28.573","23.330"
"Olesa de Bonesvalls-08146","1.028","887","1.810","321","173","28.564","23.390"
"Santa Perpètua de Mogoda-08260","13.677","12.070","25.799","322","174","28.563","23.287"
"Vilobí del Penedès-08304","643","559","1.107","329","178","28.516","23.421"
"Granada, La-08094","1.208","1.091","2.157","331","180","28.473","23.215"
"Terrassa-08279","116.273","104.394","220.556","333","181","28.447","23.193"
"Esparreguera-08076","12.027","10.617","22.251","338","184","28.426","23.230"
"Sant Cugat Sesgarrigues-08206","548","482","1.007","344","186","28.376","23.192"
"Sant Celoni-08202","9.589","8.491","17.904","345","187","28.372","23.220"
"Canet de Mar-08040","7.442","6.729","14.526","346","188","28.358","23.225"
"Avinyonet del Penedès-08013","945","838","1.701","347","189","28.347","23.115"
"Sant Pere de Riudebitlles-08232","1.229","1.090","2.368","352","192","28.259","23.191"
"Viladecans-08301","36.551","32.095","66.611","356","194","28.229","23.093"
"Sant Andreu de la Barca-08196","14.937","13.083","27.558","359","196","28.170","23.096"
"Olesa de Montserrat-08147","12.814","11.330","23.904","369","199","28.056","22.965"
"Barberà del Vallès-08252","18.174","16.205","33.091","374","202","27.980","22.988"
"Sant Iscle de Vallalta-08193","681","609","1.332","377","203","27.956","22.665"
"Torelló-08285","7.896","7.237","14.347","380","205","27.932","22.832"
"Pobla de Claramunt, La-08165","1.150","1.029","2.193","389","208","27.898","22.931"
"Fonollosa-08084","783","711","1.453","390","209","27.877","22.710"
"Sant Feliu de Codines-08210","3.214","2.931","6.259","391","210","27.862","22.779"
"Callús-08038","1.075","970","2.140","399","212","27.797","22.647"
"Rubí-08184","39.776","35.298","77.464","400","213","27.791","22.814"
"Sant Salvador de Guardiola-08098","1.672","1.509","3.179","404","215","27.750","22.863"
"Canyelles-08043","2.550","2.237","4.647","405","216","27.743","22.771"
"Font-rubí-08085","760","673","1.327","407","217","27.717","22.805"
"Capellades-08044","2.799","2.548","5.293","410","218","27.683","22.695"
"Castellgalí-08061","1.097","975","2.062","411","219","27.676","22.713"
"Figaró-Montmany-08134","490","453","1.114","418","220","27.606","22.567"
"Masquefa-08119","4.808","4.194","9.211","420","221","27.585","22.726"
"Prat de Llobregat, El-08169","35.607","31.255","64.599","421","222","27.581","22.678"
"Castellterçol-08064","1.233","1.125","2.463","423","223","27.556","22.647"
"Subirats-08273","1.708","1.521","3.044","429","225","27.472","22.588"
"Mediona-08122","1.079","968","2.322","431","226","27.461","22.835"
"Badalona-08015","112.828","98.152","220.440","432","227","27.453","22.586"
"Montcada i Reixac-08125","18.503","16.307","36.239","434","228","27.444","22.499"
"Montmeló-08135","4.889","4.285","8.755","437","229","27.439","22.580"
"Sant Boi de Llobregat-08200","44.748","38.995","83.605","442","231","27.371","22.542"
"Sant Hipòlit de Voltregà-08215","1.854","1.697","3.484","446","234","27.349","22.293"
"Polinyà-08167","4.608","4.197","8.479","447","235","27.317","22.415"
"Navarcles-08140","3.197","2.905","5.977","454","239","27.274","22.399"
"Montornès del Vallès-08136","8.816","7.663","16.393","455","240","27.264","22.512"
"Mollet del Vallès-08124","27.361","23.998","51.318","456","241","27.254","22.394"
"Pineda de Mar-08163","13.166","11.560","27.272","464","243","27.172","22.590"
"Torre de Claramunt, La-08286","1.863","1.653","3.714","468","245","27.138","22.375"
"Sant Vicenç dels Horts-08263","15.071","12.995","28.117","472","247","27.054","22.324"
"Sant Quirze de Besora-08237","1.110","1.022","2.167","487","253","26.959","22.154"
"Castellví de la Marca-08065","868","761","1.535","493","256","26.906","22.135"
"Manlleu-08112","10.134","8.886","20.573","495","258","26.902","22.183"
"Mataró-08121","63.302","56.232","128.265","497","259","26.847","22.108"
"Ripollet-08180","19.798","17.318","38.665","500","260","26.824","22.143"
"Berga-08022","8.752","7.775","16.494","501","261","26.812","22.324"
"Cardona-08047","2.531","2.225","4.636","503","263","26.787","22.282"
"Roda de Ter-08183","3.320","3.030","6.301","506","264","26.716","21.814"
"Masies de Voltregà, Les-08117","1.699","1.567","3.141","508","266","26.709","21.877"
"Calaf-08031","1.949","1.667","3.535","509","267","26.698","22.082"
"Olost-08149","644","600","1.198","516","268","26.654","21.637"
"Cornellà de Llobregat-08073","47.044","41.176","88.592","523","270","26.590","22.000"
"Artés-08010","3.124","2.834","5.698","526","271","26.570","21.845"
"Centelles-08067","4.065","3.752","7.404","532","273","26.535","21.794"
"Sant Martí de Centelles-08224","580","532","1.167","541","277","26.468","21.671"
"Sallent-08191","3.448","3.125","6.658","546","282","26.428","21.845"
"Piera-08161","7.960","6.902","15.603","565","287","26.298","21.820"
"Canovelles-08041","7.886","6.775","16.629","570","289","26.274","21.830"
"Pla del Penedès, El-08164","670","606","1.256","582","294","26.172","21.661"
"Balsareny-08018","1.615","1.456","3.159","591","298","26.080","21.567"
"Calella-08035","9.045","8.149","19.069","598","302","26.023","21.566"
"Sant Martí Sarroca-08227","1.744","1.561","3.264","600","303","26.008","21.446"
"Castellet i la Gornal-08058","1.202","1.069","2.292","604","304","25.967","21.525"
"Sant Joan de Vilatorrada-08218","5.948","5.324","10.936","608","306","25.935","21.431"
"Navàs-08141","3.104","2.769","6.020","612","308","25.918","21.538"
"Avià-08011","1.223","1.126","2.226","615","310","25.891","21.337"
"Santa Margarida i els Monjos-08251","3.973","3.421","7.611","619","311","25.854","21.555"
"Monistrol de Montserrat-08127","1.541","1.395","3.034","625","312","25.810","21.344"
"Sant Pere de Torelló-08233","1.290","1.189","2.419","632","314","25.762","21.127"
"Bagà-08016","1.171","1.030","2.138","637","315","25.740","21.553"
"Sant Adrià de Besòs-08194","16.649","14.539","37.097","657","321","25.556","21.226"
"Puig-reig-08175","2.137","1.945","4.178","663","322","25.530","21.388"
"Palafolls-08155","4.865","4.391","9.405","667","323","25.507","21.015"
"Prats de Lluçanès-08171","1.422","1.328","2.569","668","324","25.505","20.984"
"Sant Vicenç de Castellet-08262","4.562","4.082","9.523","689","334","25.398","21.147"
"Avinyó-08012","1.193","1.098","2.275","692","336","25.388","21.036"
"Hospitalet de Llobregat, L-08101","130.330","113.863","264.923","697","338","25.365","21.118"
"Sant Quintí de Mediona-08236","1.085","949","2.254","699","339","25.358","21.095"
"Fogars de la Selva-08082","723","633","1.451","705","341","25.326","21.115"
"Castellbell i el Vilar-08053","1.782","1.591","3.647","717","346","25.282","21.010"
"Balenyà-08017","1.973","1.765","3.821","727","348","25.190","20.801"
"Pont de Vilomara i Rocafort, El-08182","1.753","1.571","3.830","748","355","25.033","20.857"
"Gironella-08092","2.595","2.297","4.826","754","357","24.993","21.073"
"Sant Llorenç Savall-08223","1.183","1.070","2.373","765","361","24.950","20.767"
"Santa Eugènia de Berga-08246","1.253","1.166","2.248","766","362","24.949","20.540"
"Tordera-08284","8.162","7.166","17.216","771","364","24.929","20.781"
"Cercs-08268","589","512","1.145","790","369","24.814","20.864"
"Malgrat de Mar-08110","9.359","8.388","18.579","801","373","24.744","20.687"
"Llagosta, La-08105","6.859","5.889","13.480","817","375","24.652","20.605"
"Casserres-08049","839","757","1.608","865","385","24.316","20.525"
"Cabrera Anoia-08028","681","593","1.410","877","387","24.218","20.306"
"Torrelles de Foix-08288","996","861","2.348","883","390","24.147","20.339"
"Santa Coloma de Gramenet-08245","58.311","49.594","119.215","1.020","414","23.208","19.634"
"Santa Maria Oló-08258","572","526","1.025","1.066","419","22.966","19.405"
"Vilanova del Camí-08302","6.051","5.335","12.458","1.073","420","22.937","19.383"
"Pobla de Lillet, La-08166","609","543","1.095","1.109","422","22.666","19.549"
"Badia del Vallès-08904","6.002","5.066","13.380","1.126","424","22.572","19.213"
"Santa Margarida de Montbui-08250","4.620","3.994","9.980","1.146","428","22.449","19.060"
"Agrupación municipios pequeños-08","17.949","16.388","35.070","-","-","29.891","24.150"
"Girona","380.314","343.845","771.044",NA,NA,"27.968","22.866"
"Peralada-17132","973","906","1.850","17","8","46.576","36.468"
"Riudarenes-17148","1.059","948","2.182","26","14","43.392","34.884"
"Jonquera, La-17086","1.424","1.291","3.290","58","28","37.156","27.896"
"Fornells de la Selva-17073","1.474","1.389","2.650","60","29","37.056","29.018"
"Sant Gregori-17163","2.011","1.906","3.817","78","38","34.777","27.604"
"Escala, L-17062","4.630","4.157","10.339","116","60","32.937","27.407"
"Girona-17079","53.832","49.831","101.852","119","62","32.543","25.965"
"Sant Julià de Ramis-17169","1.937","1.781","3.515","126","67","32.270","25.755"
"Vilablareix-17215","1.650","1.542","2.897","134","74","31.903","25.615"
"Santa Pau-17184","851","800","1.565","136","75","31.814","25.494"
"Quart-17142","2.046","1.917","3.724","145","78","31.618","25.478"
"Forallac-17902","905","827","1.687","160","86","31.265","24.822"
"Vall de Bianya, La-17208","713","671","1.264","161","87","31.263","25.209"
"Navata-17111","701","644","1.381","163","89","31.126","25.179"
"Begur-17013","2.017","1.809","3.925","173","94","30.801","25.097"
"Santa Cristina Aro-17181","2.690","2.418","5.223","181","99","30.640","24.926"
"Bordils-17025","969","896","1.779","190","104","30.545","24.570"
"Cornellà del Terri-17056","1.247","1.149","2.364","198","106","30.360","24.516"
"Sant Joan les Fonts-17185","1.555","1.429","3.006","222","122","29.980","24.284"
"Bescanó-17020","2.654","2.483","4.960","235","127","29.673","24.174"
"Preses, Les-17139","974","921","1.788","245","133","29.479","23.721"
"Castell-Platja Aro-17048","4.591","4.146","10.860","250","136","29.361","23.812"
"Pals-17124","1.270","1.140","2.411","252","137","29.310","23.732"
"Llívia-17094","715","643","1.417","253","138","29.307","23.982"
"Celrà-17049","2.848","2.605","5.452","259","140","29.235","23.782"
"Puigcerdà-17141","4.308","3.894","9.258","267","144","29.104","24.037"
"Llers-17093","614","573","1.239","268","145","29.101","23.842"
"Vall en Bas, La-17207","1.655","1.570","3.072","272","147","29.046","23.405"
"Calonge-17034","5.181","4.656","11.092","273","148","29.044","23.552"
"Riudellots de la Selva-17150","1.188","1.099","2.076","284","152","28.894","23.437"
"Fontcoberta-17071","803","744","1.468","287","153","28.875","23.506"
"Camprodon-17039","1.135","1.049","2.281","288","154","28.871","23.566"
"Cruïlles, Monells i Sant Sadurní de Heura-17901","653","591","1.279","295","158","28.786","23.389"
"Cassà de la Selva-17044","5.414","4.899","10.380","299","160","28.745","23.456"
"Avinyonet de Puigventós-17012","840","752","1.610","307","165","28.670","23.336"
"Caldes de Malavella-17033","3.936","3.537","7.641","308","166","28.666","23.286"
"Corçà-17057","705","622","1.267","313","169","28.637","23.380"
"Banyoles-17015","10.553","9.594","19.826","314","170","28.627","23.255"
"Amer-17007","1.218","1.120","2.298","324","175","28.537","23.323"
"Alp-17006","667","622","1.580","325","176","28.537","23.014"
"Porqueres-17137","2.487","2.280","4.621","327","177","28.528","23.136"
"Viladrau-17220","614","554","1.040","341","185","28.407","22.984"
"Sant Feliu de Pallerols-17161","674","628","1.371","350","190","28.270","22.968"
"Vilobí Onyar-17233","1.709","1.558","3.291","357","195","28.218","23.006"
"Mont-ras-17110","896","781","1.679","366","197","28.074","22.825"
"Besalú-17019","1.311","1.214","2.492","367","198","28.067","23.004"
"Flaçà-17067","590","528","1.093","379","204","27.945","22.836"
"Cadaqués-17032","1.257","1.169","2.712","385","207","27.915","22.979"
"Portbou-17138","532","486","1.075","401","214","27.779","23.039"
"Olot-17114","18.458","17.037","35.228","427","224","27.518","22.493"
"Sarrià de Ter-17186","2.835","2.570","5.170","444","233","27.355","22.541"
"Palau-saverdera-17120","644","585","1.476","451","238","27.289","22.398"
"Sant Joan de les Abadesses-17167","1.758","1.636","3.232","462","242","27.178","22.298"
"Serinyà-17190","554","513","1.136","469","246","27.106","22.162"
"Riells i Viabrea-17146","2.218","1.961","4.124","474","248","27.048","22.250"
"Sant Julià del Llor i Bonmatí-17903","700","653","1.286","486","252","26.968","22.124"
"Ripoll-17147","5.608","5.150","10.686","502","262","26.810","22.051"
"Santa Coloma de Farners-17180","6.585","5.893","13.143","507","265","26.710","21.917"
"Campdevànol-17036","1.784","1.666","3.223","520","269","26.617","21.880"
"Sils-17193","3.058","2.760","6.093","539","275","26.485","21.850"
"Vilafant-17221","2.823","2.525","5.394","545","281","26.438","21.757"
"Verges-17211","590","530","1.171","547","283","26.419","21.862"
"Breda-17027","2.010","1.742","3.740","552","284","26.373","21.771"
"Vilajuïga-17223","582","529","1.104","554","285","26.340","21.547"
"Arbúcies-17009","3.394","2.900","6.556","562","286","26.312","21.702"
"Palamós-17118","8.413","7.605","17.910","567","288","26.290","21.665"
"Bàscara-17016","502","456","1.004","572","290","26.261","21.734"
"Castelló Empúries-17047","4.464","3.969","10.906","578","292","26.203","21.600"
"Figueres-17066","21.380","18.956","46.654","585","295","26.150","21.644"
"Vidreres-17213","3.943","3.529","7.797","586","296","26.121","21.652"
"Ribes de Freser-17145","956","896","1.754","587","297","26.119","21.502"
"Tossa de Mar-17202","2.782","2.566","5.683","594","300","26.052","21.682"
"Sant Feliu de Guíxols-17160","10.510","9.299","21.925","630","313","25.768","21.483"
